min_off_hub,s2_derate,eta,scenario_s1_link_sigma,num_tasks,model_a_feasible,model_a_status,model_a_cvar_sla,model_a_cvar_sf,loose_model_c_feasible,loose_model_c_status,compute_assignment_feasible,reason_guess,grid3_optimal_count,grid3_acceptance_pass,grid3_fail_reason
0,0.4,1.2,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible;s2_derate_harsh,,,skipped:Model_A_infeasible
0,0.4,1.3,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible;s2_derate_harsh;eta_high,,,skipped:Model_A_infeasible
0,0.5,1.2,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible,,,skipped:Model_A_infeasible
0,0.5,1.3,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible;eta_high,,,skipped:Model_A_infeasible
0,0.6,1.2,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible,,,skipped:Model_A_infeasible
0,0.6,1.3,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible;eta_high,,,skipped:Model_A_infeasible
1,0.4,1.2,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible;s2_derate_harsh,,,skipped:Model_A_infeasible
1,0.4,1.3,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible;s2_derate_harsh;eta_high,,,skipped:Model_A_infeasible
1,0.5,1.2,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible,,,skipped:Model_A_infeasible
1,0.5,1.3,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible;eta_high,,,skipped:Model_A_infeasible
1,0.6,1.2,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible,,,skipped:Model_A_infeasible
1,0.6,1.3,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible;eta_high,,,skipped:Model_A_infeasible
2,0.4,1.2,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible;min_off_hub_restrictive;s2_derate_harsh,,,skipped:Model_A_infeasible
2,0.4,1.3,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible;min_off_hub_restrictive;s2_derate_harsh;eta_high,,,skipped:Model_A_infeasible
2,0.5,1.2,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible;min_off_hub_restrictive,,,skipped:Model_A_infeasible
2,0.5,1.3,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible;min_off_hub_restrictive;eta_high,,,skipped:Model_A_infeasible
2,0.6,1.2,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible;min_off_hub_restrictive,,,skipped:Model_A_infeasible
2,0.6,1.3,0.8,12,False,INF_OR_UNBD,,,False,INF_OR_UNBD,False,base_infeasible:Model_A;compute_assignment_infeasible;min_off_hub_restrictive;eta_high,,,skipped:Model_A_infeasible
