gamma_sla,gamma_sf,status,objective,obj_val,objective_formula,cost,monetary_cost,compute_cost,bandwidth_cost,exp_deliver,omega_deliver,obj_reconstruction_error,cvar_sla,cvar_sf,model_cvar_sla,model_cvar_sf,posthoc_cvar_sla,posthoc_cvar_sf,posthoc_mean_sla_loss,posthoc_mean_sf_loss,zeta_sla,zeta_sf,is_pareto_nondominated,dominated_by,elapsed_sec,routing_mode,link_price_mode,eta,scenario_s1_link_sigma,num_tasks,min_off_hub,s2_derate,umcf_access_sigma,virtual_edge_count,virtual_edge_price_policy,virtual_edge_sigma_policy,posthoc_warning,error
0.8,0.03,OPTIMAL,-2927.267410395469,-2927.267410395469,monetary_cost - omega_deliver * expected_delivery,1987.5415353618778,1987.5415353618778,148.72000000000003,1838.8215353618777,4914.808945757351,1.0,3.637978807091713e-12,0.8,0.03,0.8,0.03,0.8,0.0041876046901172526,0.8,0.0004187604690117253,0.8,0.03,True,,0.13294119999045506,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.8,0.035,OPTIMAL,-2927.267410395469,-2927.267410395469,monetary_cost - omega_deliver * expected_delivery,1987.5415353618778,1987.5415353618778,148.72000000000003,1838.8215353618777,4914.808945757351,1.0,3.637978807091713e-12,0.8,0.035,0.8,0.035,0.8,0.0041876046901172526,0.8,0.0004187604690117253,0.8,0.035,True,,0.12992439995286986,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.8,0.0377,OPTIMAL,-2927.267410395469,-2927.267410395469,monetary_cost - omega_deliver * expected_delivery,1987.5415353618778,1987.5415353618778,148.72000000000003,1838.8215353618777,4914.808945757351,1.0,3.637978807091713e-12,0.8,0.0377,0.8,0.0377,0.8,0.0041876046901172526,0.8,0.0004187604690117253,0.8,0.0377,True,,0.1334703000029549,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.8,0.04,OPTIMAL,-2927.267410395469,-2927.267410395469,monetary_cost - omega_deliver * expected_delivery,1987.5415353618778,1987.5415353618778,148.72000000000003,1838.8215353618777,4914.808945757351,1.0,3.637978807091713e-12,0.8,0.04,0.8,0.04,0.8,0.0041876046901172526,0.8,0.0004187604690117253,0.8,0.04,True,,0.1536929999710992,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.8,0.045,OPTIMAL,-2927.267410395469,-2927.267410395469,monetary_cost - omega_deliver * expected_delivery,1987.5415353618778,1987.5415353618778,148.72000000000003,1838.8215353618777,4914.808945757351,1.0,3.637978807091713e-12,0.8,0.045,0.8,0.045,0.8,0.0041876046901172526,0.8,0.0004187604690117253,0.8,0.045,True,,0.13946149998810142,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.9,0.03,OPTIMAL,-3419.4042962960775,-3419.4042962960775,monetary_cost - omega_deliver * expected_delivery,1068.1307676809388,1068.1307676809388,148.72000000000003,919.4107676809386,4487.535063977019,1.0,2.2737367544323206e-12,0.9,0.03,0.9,0.03,0.9000000000000001,0.0041876046901172526,0.9000000000000001,0.0004187604690117253,0.9,0.03,True,,0.12744059995748103,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.9,0.035,OPTIMAL,-3419.4042962960775,-3419.4042962960775,monetary_cost - omega_deliver * expected_delivery,1068.1307676809388,1068.1307676809388,148.72000000000003,919.4107676809386,4487.535063977019,1.0,2.2737367544323206e-12,0.9,0.035,0.9,0.035,0.9000000000000001,0.0041876046901172526,0.9000000000000001,0.0004187604690117253,0.9,0.035,True,,0.1695476999739185,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.9,0.0377,OPTIMAL,-3419.4042962960775,-3419.4042962960775,monetary_cost - omega_deliver * expected_delivery,1068.1307676809388,1068.1307676809388,148.72000000000003,919.4107676809386,4487.535063977019,1.0,2.2737367544323206e-12,0.9,0.0377,0.9,0.0377,0.9000000000000001,0.0041876046901172526,0.9000000000000001,0.0004187604690117253,0.9,0.0377,True,,0.14189909998094663,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.9,0.04,OPTIMAL,-3419.4042962960775,-3419.4042962960775,monetary_cost - omega_deliver * expected_delivery,1068.1307676809388,1068.1307676809388,148.72000000000003,919.4107676809386,4487.535063977019,1.0,2.2737367544323206e-12,0.9,0.04,0.9,0.04,0.9000000000000001,0.0041876046901172526,0.9000000000000001,0.0004187604690117253,0.9,0.04,True,,0.13719929999206215,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
0.9,0.045,OPTIMAL,-3405.48440027483,-3405.48440027483,monetary_cost - omega_deliver * expected_delivery,1082.0506637021858,1082.0506637021858,148.72000000000003,933.3306637021859,4487.535063977017,1.0,9.094947017729282e-13,0.9,0.045,0.9,0.045,0.9000000000000001,0.0041876046901172526,0.9000000000000001,0.0004187604690117253,0.9,0.045,False,gamma_sla=0.9;gamma_sf=0.03,0.12949040002422407,per_task_od,uniform,1.3,0.8,8,2,0.4,0.99,0,uniform@scale=1,n/a,,
