placement_code,cost_deploy,cost_bw,cost_total,r_sla,r_sf,e_del,x_sum,in_Y1,in_Y2,is_best
AAA,0.0,0.11999999997990697,0.11999999997990697,0.04987500000000002,1.0,5.969999999000352,5.9999999989953485,0,0,0
AAB,0.03,0.09999999997990788,0.12999999997990788,0.9903987499999996,0.6666666666666666,5.779999999000382,5.999999998995394,0,0,0
AAC,0.12,0.23999999991962778,0.3599999999196278,0.09925249687500014,0.6666666666666666,5.96999999900035,5.999999998995348,0,0,0
ABA,0.03,0.09999999997990741,0.1299999999799074,0.9903987499999996,0.6666666666666666,5.779999999000357,5.999999998995371,0,0,0
ABB,0.06,0.07999999997990831,0.1399999999799083,0.9903987499999996,0.35000000000000003,5.589999999000386,5.999999998995416,0,0,0
ABC,0.15,0.21999999991963054,0.3699999999196305,1.0,0.3333333333333333,5.779999999000367,5.999999998995381,0,0,0
ACA,0.12,0.2399999999196278,0.35999999991962783,0.09925249687500014,0.6666666666666666,5.96999999900035,5.999999998995348,0,0,0
ACB,0.15000000000000002,0.21999999991963143,0.36999999991963145,1.0,0.3333333333333333,5.7799999990003785,5.999999998995393,0,0,0
ACC,0.24,0.3599999999196277,0.5999999999196277,0.09925249687500014,0.3416666666666667,5.969999999000348,5.999999998995347,0,0,0
BAA,0.03,0.09999999997990745,0.12999999997990747,0.9903987499999996,0.6666666666666666,5.779999999000361,5.9999999989953725,0,0,0
BAB,0.06,0.07999999997990836,0.13999999997990836,0.9903987499999996,0.35000000000000003,5.589999999000388,5.999999998995419,0,0,0
BAC,0.15,0.21999999991962976,0.36999999991962973,1.0,0.3333333333333333,5.779999999000359,5.999999998995372,0,0,0
BBA,0.06,0.07999999997990812,0.1399999999799081,0.9903987499999996,0.35000000000000003,5.589999999000376,5.999999998995406,0,0,0
BBB,0.09,0.05999999998889405,0.14999999998889404,0.9500000000000006,0.05000000000000014,5.399999999000397,5.999999998889404,0,0,0
BBC,0.18,0.1999999999196323,0.3799999999196323,0.9903987499999996,0.04158333333333324,5.589999999000373,5.9999999989954045,0,0,0
BCA,0.15,0.21999999991962974,0.36999999991962973,1.0,0.3333333333333333,5.779999999000359,5.999999998995372,0,0,0
BCB,0.18,0.1999999999196333,0.3799999999196333,0.9903987499999996,0.04158333333333324,5.589999999000385,5.999999998995417,0,0,0
BCC,0.27,0.3399999999196296,0.6099999999196296,0.9903987499999996,0.033250000000000154,5.779999999000355,5.99999999899537,0,0,0
CAA,0.12,0.23999999991962778,0.3599999999196278,0.09925249687500014,0.6666666666666666,5.96999999900035,5.999999998995348,0,0,0
CAB,0.15000000000000002,0.21999999991963146,0.3699999999196315,1.0,0.3333333333333333,5.7799999990003785,5.999999998995393,0,0,0
CAC,0.24,0.3599999999196277,0.5999999999196277,0.09925249687500014,0.3416666666666667,5.969999999000348,5.999999998995347,0,0,0
CBA,0.15000000000000002,0.21999999991962954,0.36999999991962956,1.0,0.3333333333333333,5.779999999000355,5.999999998995369,0,0,0
CBB,0.18000000000000005,0.19999999991963313,0.3799999999196332,0.9903987499999996,0.04158333333333324,5.589999999000383,5.999999998995413,0,0,0
CBC,0.27,0.3399999999196294,0.6099999999196295,0.9903987499999996,0.033250000000000154,5.779999999000354,5.999999998995367,0,0,0
CCA,0.24,0.3599999999196277,0.5999999999196277,0.09925249687500014,0.3416666666666667,5.969999999000348,5.999999998995347,0,0,0
CCB,0.27,0.3399999999196313,0.6099999999196313,0.9903987499999996,0.033250000000000154,5.779999999000376,5.999999998995391,0,0,0
CCC,0.36,0.4799999999196276,0.8399999999196276,0.049874999999999996,0.02499999999999997,5.969999999000345,5.999999998995345,1,1,1
