gamma_sla,gamma_sf,solver_status,obj_val,reported_cost,compute_cost,bandwidth_cost,monetary_cost,exp_deliver,omega_deliver,omega_times_exp_deliver,obj_minus_monetary,obj_reconstructed,obj_reconstruction_error,obj_equals_monetary_cost,model_cvar_sla,model_cvar_sf,posthoc_cvar_sla,posthoc_cvar_sf,zeta_sla,zeta_sf,placement_signature,link_price_mode,routing_mode,solve_time,model_objective_formula
0.8,0.03,OPTIMAL,-3048.1526299810794,3009.9912287075717,160.96,2849.0312287075717,3009.9912287075717,6058.1438586886525,1.0,6058.1438586886525,-6058.143858688651,-3048.1526299810807,1.3642420526593924e-12,False,0.8,0.03,0.8,0.020938023450586263,0.8,0.03,0:4|1:5|2:3|3:2|4:10|5:6|6:5|7:4,uniform,per_task_od,0.06473650003317744,min  cost_p + cost_b - omega_deliver * E[Del]   (monetary cost = cost_p + cost_b; NOT equal to ObjVal when omega>0)
0.8,0.035,OPTIMAL,-3048.1526299810794,3009.9912287075717,160.96,2849.0312287075717,3009.9912287075717,6058.1438586886525,1.0,6058.1438586886525,-6058.143858688651,-3048.1526299810807,1.3642420526593924e-12,False,0.8,0.035,0.8,0.020938023450586263,0.8,0.035,0:4|1:5|2:3|3:2|4:10|5:6|6:5|7:4,uniform,per_task_od,0.08332720003090799,min  cost_p + cost_b - omega_deliver * E[Del]   (monetary cost = cost_p + cost_b; NOT equal to ObjVal when omega>0)
0.8,0.0377,OPTIMAL,-3214.6613839369184,3054.1983184743617,149.56000000000003,2904.6383184743618,3054.1983184743617,6268.859702411281,1.0,6268.859702411281,-6268.8597024112805,-3214.6613839369197,1.3642420526593924e-12,False,0.8,0.0377,0.8,0.03768844221105527,0.8,0.0377,0:4|1:5|2:3|3:4|4:10|5:6|6:5|7:5,uniform,per_task_od,0.05549459997564554,min  cost_p + cost_b - omega_deliver * E[Del]   (monetary cost = cost_p + cost_b; NOT equal to ObjVal when omega>0)
0.8,0.04,OPTIMAL,-3214.6613839369184,3054.1983184743617,149.56000000000003,2904.6383184743618,3054.1983184743617,6268.859702411281,1.0,6268.859702411281,-6268.8597024112805,-3214.6613839369197,1.3642420526593924e-12,False,0.8,0.04,0.8,0.03768844221105527,0.8,0.04,0:4|1:5|2:3|3:4|4:10|5:6|6:5|7:5,uniform,per_task_od,0.05167199997231364,min  cost_p + cost_b - omega_deliver * E[Del]   (monetary cost = cost_p + cost_b; NOT equal to ObjVal when omega>0)
0.8,0.045,OPTIMAL,-3214.6613839369184,3054.1983184743617,149.56000000000003,2904.6383184743618,3054.1983184743617,6268.859702411281,1.0,6268.859702411281,-6268.8597024112805,-3214.6613839369197,1.3642420526593924e-12,False,0.8,0.045,0.8,0.03768844221105527,0.8,0.045,0:4|1:5|2:3|3:4|4:10|5:6|6:5|7:5,uniform,per_task_od,0.056892900029197335,min  cost_p + cost_b - omega_deliver * E[Del]   (monetary cost = cost_p + cost_b; NOT equal to ObjVal when omega>0)
0.9,0.03,OPTIMAL,-3568.1293079241823,2330.9365972917753,160.96,2169.9765972917753,2330.9365972917753,5899.065905215958,1.0,5899.065905215958,-5899.065905215957,-3568.1293079241827,4.547473508864641e-13,False,0.9,0.03,0.9000000000000001,0.020938023450586263,0.9,0.03,0:4|1:5|2:6|3:2|4:10|5:3|6:5|7:4,uniform,per_task_od,0.054478100035339594,min  cost_p + cost_b - omega_deliver * E[Del]   (monetary cost = cost_p + cost_b; NOT equal to ObjVal when omega>0)
0.9,0.035,OPTIMAL,-3568.1293079241823,2330.9365972917753,160.96,2169.9765972917753,2330.9365972917753,5899.065905215958,1.0,5899.065905215958,-5899.065905215957,-3568.1293079241827,4.547473508864641e-13,False,0.9,0.035,0.9000000000000001,0.020938023450586263,0.9,0.035,0:4|1:5|2:6|3:2|4:10|5:3|6:5|7:4,uniform,per_task_od,0.048776900046505034,min  cost_p + cost_b - omega_deliver * E[Del]   (monetary cost = cost_p + cost_b; NOT equal to ObjVal when omega>0)
0.9,0.0377,OPTIMAL,-3694.378685393445,2316.463479819246,149.56000000000003,2166.9034798192456,2316.4634798192455,6010.842165212691,1.0,6010.842165212691,-6010.842165212691,-3694.3786853934453,4.547473508864641e-13,False,0.9,0.0377,0.9000000000000001,0.03768844221105527,0.9,0.0377,0:4|1:5|2:3|3:4|4:10|5:6|6:5|7:5,uniform,per_task_od,0.05006010003853589,min  cost_p + cost_b - omega_deliver * E[Del]   (monetary cost = cost_p + cost_b; NOT equal to ObjVal when omega>0)
0.9,0.04,OPTIMAL,-3694.378685393445,2316.463479819246,149.56000000000003,2166.9034798192456,2316.4634798192455,6010.842165212691,1.0,6010.842165212691,-6010.842165212691,-3694.3786853934453,4.547473508864641e-13,False,0.9,0.04,0.9000000000000001,0.03768844221105527,0.9,0.04,0:4|1:5|2:3|3:4|4:10|5:6|6:5|7:5,uniform,per_task_od,0.07230970001546666,min  cost_p + cost_b - omega_deliver * E[Del]   (monetary cost = cost_p + cost_b; NOT equal to ObjVal when omega>0)
0.9,0.045,OPTIMAL,-3694.378685393445,2316.463479819246,149.56000000000003,2166.9034798192456,2316.4634798192455,6010.842165212691,1.0,6010.842165212691,-6010.842165212691,-3694.3786853934453,4.547473508864641e-13,False,0.9,0.045,0.9000000000000001,0.03768844221105527,0.9,0.045,0:4|1:5|2:3|3:4|4:10|5:6|6:5|7:5,uniform,per_task_od,0.05494529998395592,min  cost_p + cost_b - omega_deliver * E[Del]   (monetary cost = cost_p + cost_b; NOT equal to ObjVal when omega>0)
