node_id,node_name,cpu_capacity_units,gpu_capacity_units,hbm_capacity_units,price_cpu,price_gpu,price_hbm,role
1,s1,46.4,14.9,9.6,3.115,12.461,6.23,edge_pop
2,s2,409.1,125.6,80.3,0.376,1.504,0.752,core
3,s3,153.0,53.3,25.4,1.088,4.35,2.175,aggregation
4,s4,48.0,19.3,7.7,3.023,12.092,6.046,edge_pop
5,s5,309.0,101.8,62.0,0.347,1.387,0.693,core
6,s6,151.2,46.5,24.8,1.099,4.396,2.198,aggregation
7,s7,145.2,58.1,26.2,1.091,4.365,2.182,aggregation
8,s8,151.8,52.1,29.4,0.947,3.788,1.894,aggregation
9,s9,337.0,109.7,51.9,0.388,1.551,0.776,core
10,s10,109.9,33.4,18.1,1.099,4.395,2.198,aggregation
11,s11,132.5,42.2,26.6,1.03,4.119,2.059,aggregation
12,s12,108.9,43.7,17.8,1.086,4.343,2.171,aggregation
13,s13,449.4,160.0,80.6,0.374,1.498,0.749,core
14,s14,131.7,50.5,22.9,0.992,3.967,1.984,aggregation
15,s15,168.3,52.2,26.6,1.03,4.121,2.06,aggregation
16,s16,152.0,55.7,29.7,1.098,4.392,2.196,aggregation
17,s17,438.1,162.5,71.6,0.411,1.645,0.822,core
18,s18,42.3,15.8,8.2,3.059,12.235,6.118,edge_pop
19,s19,45.2,15.7,8.6,2.904,11.616,5.808,edge_pop
20,s20,119.9,36.4,18.6,1.088,4.354,2.177,aggregation
21,s21,145.4,57.5,26.8,1.042,4.167,2.083,aggregation
22,s22,345.5,103.5,60.8,0.353,1.413,0.707,core
23,s23,49.3,16.7,8.2,3.103,12.412,6.206,edge_pop
24,s24,57.5,18.9,9.9,2.845,11.378,5.689,edge_pop
25,s25,149.7,48.5,24.3,1.077,4.309,2.154,aggregation
