node_id,node_name,cpu_capacity_units,gpu_capacity_units,hbm_capacity_units,price_cpu,price_gpu,price_hbm,role
1,s1,26.9,10.1,12.0,2.80,11.20,5.60,edge_pop
2,s2,232.2,69.1,45.1,0.35,1.40,0.70,core
3,s3,82.1,25.3,15.2,1.10,4.40,2.20,aggregation
4,s4,101.3,39.6,19.2,1.10,4.40,2.20,aggregation
5,s5,177.3,70.2,35.4,0.32,1.28,0.64,core
6,s6,207.1,70.0,32.7,0.34,1.36,0.68,core
7,s7,101.2,35.3,19.1,0.96,3.84,1.92,aggregation
8,s8,37.3,15.0,13.0,3.00,12.00,6.00,edge_pop
9,s9,77.2,29.6,15.1,1.04,4.16,2.08,aggregation
10,s10,112.7,41.9,23.2,1.07,4.28,2.14,aggregation
11,s11,37.8,11.4,14.0,2.90,11.60,5.80,edge_pop
12,s12,77.9,31.0,13.2,0.97,3.88,1.94,aggregation
