node_id,node_name,cpu_capacity_units,gpu_capacity_units,hbm_capacity_units,price_cpu,price_gpu,price_hbm,role
1,s1,33.6,11.0,14.0,3.20,12.80,6.40,edge_pop
2,s2,89.2,32.6,13.7,1.07,4.28,2.14,aggregation
3,s3,117.8,41.6,19.4,1.00,4.00,2.00,aggregation
4,s4,237.8,93.8,45.7,0.38,1.52,0.76,core
5,s5,109.9,37.8,17.5,1.03,4.12,2.06,aggregation
6,s6,214.6,69.0,34.9,0.35,1.40,0.70,core
7,s7,213.4,69.7,43.7,0.34,1.36,0.68,core
8,s8,128.7,50.2,20.2,0.94,3.76,1.88,aggregation
9,s9,37.6,12.9,15.0,2.85,11.40,5.70,edge_pop
10,s10,131.8,45.9,21.7,0.90,3.60,1.80,aggregation
11,s11,125.7,43.4,24.3,1.06,4.24,2.12,aggregation
12,s12,36.9,12.6,16.0,2.65,10.60,5.30,edge_pop
