to_node   from_node   capacity          prob_failure
1          2          5870000           0.002280
1          3          3800000           0.002540
2          1          5450000           0.002280
2          5          6170000           0.003320
3          1          5960000           0.002540
3          4          5750000           0.003320
3          6          4610000           0.001840
4          3          5330000           0.003320
4          5          4190000           0.001840
4          7          6050000           0.002360
4          8          3980000           0.002620
5          2          4910000           0.003320
5          4          3770000           0.001840
5          6          5630000           0.002360
6          3          6350000           0.001840
6          5          5210000           0.002360
6          7          4070000           0.002880
6          8          5000000           0.003140
7          4          4790000           0.002360
7          6          3650000           0.002880
7          8          5510000           0.003400
7          11         5300000           0.002180
8          4          5300000           0.002620
8          6          4160000           0.003140
8          7          5090000           0.003400
8          10         4880000           0.002180
9          10         5390000           0.002440
9          11         6320000           0.002700
10         8          4040000           0.002180
10         9          4970000           0.002440
10         11         3830000           0.002960
10         12         4760000           0.003220
11         7          3620000           0.002180
11         9          5480000           0.002700
11         10         6410000           0.002960
11         12         5270000           0.003480
12         10         3920000           0.003220
12         11         4850000           0.003480
