node_id,node_name,cpu_capacity_units,gpu_capacity_units,hbm_capacity_units,price_cpu,price_gpu,price_hbm,role
1,s1,125.3,37.6,22.1,1.033,4.134,2.067,aggregation
2,s2,350.2,133.5,55.2,0.579,2.317,1.158,core
3,s3,133.4,45.8,20.8,1.005,4.022,2.011,aggregation
4,s4,60.9,22.2,11.5,2.219,8.874,4.437,edge_pop
5,s5,66.2,20.8,12.9,2.04,8.16,4.08,edge_pop
6,s6,143.3,56.7,26.8,0.996,3.982,1.991,aggregation
7,s7,128.7,45.8,24.6,0.905,3.62,1.81,aggregation
8,s8,129.9,51.9,21.2,1.028,4.111,2.056,aggregation
9,s9,129.6,43.5,25.5,0.968,3.871,1.935,aggregation
10,s10,351.1,119.7,56.2,0.546,2.184,1.092,core
11,s11,337.1,106.8,65.5,0.564,2.255,1.128,core
12,s12,63.1,23.9,10.3,2.247,8.989,4.494,edge_pop
13,s13,315.6,97.6,54.8,0.502,2.009,1.004,core
14,s14,131.5,49.0,25.6,1.001,4.005,2.003,aggregation
15,s15,146.9,54.2,26.0,1.094,4.376,2.188,aggregation
16,s16,66.9,19.9,11.6,2.096,8.385,4.192,edge_pop
17,s17,131.6,46.1,21.0,1.039,4.157,2.078,aggregation
