node_id,node_name,cpu_capacity_units,gpu_capacity_units,hbm_capacity_units,price_cpu,price_gpu,price_hbm,role
1,s1,110.2,40.6,18.3,0.938,3.752,1.876,aggregation
2,s2,134.6,48.5,24.8,0.971,3.883,1.942,aggregation
3,s3,115.9,35.0,22.9,1.065,4.26,2.13,aggregation
4,s4,98.4,32.3,20.1,1.04,4.159,2.079,aggregation
5,s5,161.4,62.4,32.4,0.969,3.875,1.938,aggregation
6,s6,376.6,116.9,77.3,0.351,1.403,0.701,core
7,s7,348.8,120.6,56.4,0.387,1.548,0.774,core
8,s8,155.4,46.5,29.1,0.928,3.711,1.856,aggregation
9,s9,179.0,58.9,34.8,0.995,3.979,1.99,aggregation
10,s10,82.4,31.1,14.7,0.998,3.99,1.995,aggregation
11,s11,232.2,69.9,47.7,0.379,1.514,0.757,core
12,s12,110.2,41.8,20.2,1.091,4.366,2.183,aggregation
13,s13,470.6,161.7,85.6,0.402,1.608,0.804,core
14,s14,127.0,48.6,23.2,0.945,3.78,1.89,aggregation
15,s15,60.0,20.4,11.7,3.017,12.067,6.034,edge_pop
16,s16,267.3,80.9,45.4,0.404,1.617,0.808,core
17,s17,85.0,27.0,15.2,0.983,3.932,1.966,aggregation
18,s18,129.8,51.3,23.0,1.085,4.339,2.169,aggregation
19,s19,36.6,12.0,6.1,2.905,11.622,5.811,edge_pop
20,s20,52.8,21.0,9.7,2.901,11.603,5.801,edge_pop
21,s21,118.4,35.9,21.0,1.069,4.277,2.138,aggregation
22,s22,143.3,50.1,24.3,0.976,3.902,1.951,aggregation
23,s23,38.9,12.3,6.5,2.766,11.063,5.532,edge_pop
24,s24,38.4,13.9,7.4,3.006,12.023,6.012,edge_pop
25,s25,57.6,18.8,10.6,2.967,11.867,5.934,edge_pop
26,s26,167.8,61.9,27.7,0.402,1.609,0.804,core
27,s27,60.2,18.2,10.4,2.657,10.627,5.314,edge_pop
28,s28,62.1,24.4,10.7,1.091,4.365,2.183,aggregation
