topology,num_tasks,demand_scale,stress_s1,umcf_teavar,min_off_hub,k_paths,model,lambda,status,optimal,cost,SLA_CVaR,nodeUtil_CVaR,link_CVaR,computeSf_CVaR,E_del_vol,obj_full,placement,notes
B4,8,25.0,0,0,2,4,Physical,0.5,2,1,101.1211,,0.9153,0.7637,,,101.9606,"n3:1, n5:5, n6:2",
B4,8,25.0,0,0,2,4,teavar_sla,0.5,2,1,101.2144,0.0000,0.9169,,0.0000,6827.417,-6725.7445,"n3:1, n5:5, n6:2",
B4,8,25.0,0,0,2,4,Physical,5.0,2,1,101.6635,,0.9153,0.4187,,,108.3338,"n3:1, n5:5, n6:2",
B4,8,25.0,0,0,2,4,teavar_sla,5.0,2,1,101.2144,0.0000,0.9169,,0.0000,6827.417,-6725.7445,"n3:1, n5:5, n6:2",
B4,8,25.0,0,0,2,4,Physical,50.0,2,1,102.2998,,0.8238,0.4187,,,164.4263,"n3:2, n5:4, n6:2",
B4,8,25.0,0,0,2,4,teavar_sla,50.0,2,1,101.2144,0.0000,0.9169,,0.0000,6827.417,-6725.7445,"n3:1, n5:5, n6:2",
B4,8,25.0,0,0,2,4,Model_C,,2,1,101.1211,0.0000,,,0.0000,6827.417,,"n3:1, n5:5, n6:2",A@λ=50.0 Γ_sla=0.0000
B4,8,25.0,0,0,2,4,Model_A_monetary,5.0,2,1,101.1211,0.0000,,,,101.12,,"n3:1, n5:5, n6:2",E[L]=101.12 CVaR(L)=101.12
B4,8,25.0,0,0,2,4,Model_M,,2,1,98.0200,,,,,101.70,101.70,"n3:1, n5:1, n6:6",CVaR(L)=101.70
B4,8,25.0,0,0,2,4,Model_M-C,,2,1,98.5200,,,,,101.21,106.79,"n3:1, n5:5, n6:2",Γ_money=106.79 CVaR=101.21
