topology,num_tasks,demand_scale,stress_s1,umcf_teavar,min_off_hub,k_paths,model,lambda,status,optimal,cost,SLA_CVaR,nodeUtil_CVaR,link_CVaR,computeSf_CVaR,E_del_vol,obj_full,placement,notes
B4,8,25.0,1,1,2,4,Physical,0.5,2,1,99.0851,,0.9169,0.5785,,,99.8328,"n3:1, n5:1, n6:6",
B4,8,25.0,1,1,2,4,teavar_sla,0.5,2,1,99.0851,0.0000,0.9169,,0.0000,6827.417,-6727.8738,"n3:1, n5:1, n6:6",
B4,8,25.0,1,1,2,4,Physical,5.0,2,1,99.4851,,0.9153,0.3240,,,105.6819,"n3:1, n5:5, n6:2",
B4,8,25.0,1,1,2,4,teavar_sla,5.0,2,1,99.0851,0.0000,0.9169,,0.0000,6827.417,-6727.8738,"n3:1, n5:1, n6:6",
B4,8,25.0,1,1,2,4,Physical,50.0,2,1,100.4251,,0.8753,0.3240,,,160.3903,"n3:2, n5:4, n6:2",
B4,8,25.0,1,1,2,4,teavar_sla,50.0,2,1,99.0851,0.0000,0.9169,,0.0000,6827.417,-6727.8738,"n3:1, n5:1, n6:6",
B4,8,25.0,1,1,2,4,Model_C,,2,1,99.0851,0.0000,,,0.0000,6827.417,,"n3:1, n5:1, n6:6",A@λ=50.0 Γ_sla=0.0000
B4,8,25.0,1,1,2,4,Model_A_monetary,5.0,2,1,99.0851,0.0000,,,,99.09,,"n3:1, n5:1, n6:6",E[L]=99.09 CVaR(L)=99.09
B4,8,25.0,1,1,2,4,Model_M,,2,1,98.0200,,,,,99.09,99.09,"n3:1, n5:1, n6:6",CVaR(L)=99.09
B4,8,25.0,1,1,2,4,Model_M-C,,2,1,98.0200,,,,,99.09,104.04,"n3:1, n5:1, n6:6",Γ_money=104.04 CVaR=99.09
