gamma_sla,gamma_sf,status,objective,cost,cvar_sla,cvar_sf,exp_deliver,elapsed_sec,routing_mode,eta,scenario_s1_link_sigma,num_tasks,min_off_hub,s2_derate,error
0.04000000000000001,0.018000000000000002,OPTIMAL,-8097.593797092857,235.40620290714168,0.04000000000000001,0.018000000000000002,8333.0,0.18595840001944453,per_task_od,1.3,0.8,8,2,0.4,
0.04000000000000001,0.02,OPTIMAL,-8097.593797092857,235.40620290714168,0.04000000000000001,0.02,8333.0,0.16440100001636893,per_task_od,1.3,0.8,8,2,0.4,
0.04000000000000001,0.022,OPTIMAL,-8089.004061930535,243.99593806946487,0.04000000000000001,0.022,8333.0,0.1547296000062488,per_task_od,1.3,0.8,8,2,0.4,
0.04000000000000001,0.025,OPTIMAL,-8089.004061930535,243.99593806946487,0.04000000000000001,0.025,8333.0,0.20343499997397885,per_task_od,1.3,0.8,8,2,0.4,
0.04000000000000001,0.03,OPTIMAL,-8113.919316124725,219.0806838752748,0.04000000000000001,0.03,8333.0,0.16624360001878813,per_task_od,1.3,0.8,8,2,0.4,
0.05,0.018000000000000002,OPTIMAL,-8097.593797092857,235.40620290714168,0.05,0.018000000000000002,8333.0,0.1526867999928072,per_task_od,1.3,0.8,8,2,0.4,
0.05,0.02,OPTIMAL,-8097.593797092857,235.40620290714168,0.05,0.02,8333.0,0.17903209995711222,per_task_od,1.3,0.8,8,2,0.4,
0.05,0.022,OPTIMAL,-8089.004061930535,243.99593806946487,0.05,0.022,8333.0,0.17471330001717433,per_task_od,1.3,0.8,8,2,0.4,
0.05,0.025,OPTIMAL,-8089.004061930535,243.99593806946487,0.05,0.025,8333.0,0.18347349995747209,per_task_od,1.3,0.8,8,2,0.4,
0.05,0.03,OPTIMAL,-8113.919316124725,219.0806838752748,0.05,0.03,8333.0,0.13478389999363571,per_task_od,1.3,0.8,8,2,0.4,
0.06,0.018000000000000002,OPTIMAL,-8097.593797092857,235.40620290714168,0.06,0.018000000000000002,8333.0,0.1365288000088185,per_task_od,1.3,0.8,8,2,0.4,
0.06,0.02,OPTIMAL,-8097.593797092857,235.40620290714168,0.06,0.02,8333.0,0.12475800001993775,per_task_od,1.3,0.8,8,2,0.4,
0.06,0.022,OPTIMAL,-8089.004061930535,243.99593806946487,0.06,0.022,8333.0,0.1445907999877818,per_task_od,1.3,0.8,8,2,0.4,
0.06,0.025,OPTIMAL,-8089.004061930535,243.99593806946487,0.06,0.025,8333.0,0.12233759998343885,per_task_od,1.3,0.8,8,2,0.4,
0.06,0.03,OPTIMAL,-8113.919316124725,219.0806838752748,0.06,0.03,8333.0,0.1315271999919787,per_task_od,1.3,0.8,8,2,0.4,
0.07500000000000001,0.018000000000000002,OPTIMAL,-8097.593797092857,235.40620290714168,0.07500000000000001,0.018000000000000002,8333.0,0.1284525000373833,per_task_od,1.3,0.8,8,2,0.4,
0.07500000000000001,0.02,OPTIMAL,-8097.593797092857,235.40620290714168,0.07500000000000001,0.02,8333.0,0.12784440000541508,per_task_od,1.3,0.8,8,2,0.4,
0.07500000000000001,0.022,OPTIMAL,-8089.004061930535,243.99593806946487,0.07500000000000001,0.022,8333.0,0.12997260002885014,per_task_od,1.3,0.8,8,2,0.4,
0.07500000000000001,0.025,OPTIMAL,-8089.004061930535,243.99593806946487,0.07500000000000001,0.025,8333.0,0.12625059997662902,per_task_od,1.3,0.8,8,2,0.4,
0.07500000000000001,0.03,OPTIMAL,-8113.919316124725,219.0806838752748,0.07500000000000001,0.03,8333.0,0.1351829000050202,per_task_od,1.3,0.8,8,2,0.4,
0.1,0.018000000000000002,OPTIMAL,-8097.593797092857,235.40620290714168,0.1,0.018000000000000002,8333.0,0.13099910004530102,per_task_od,1.3,0.8,8,2,0.4,
0.1,0.02,OPTIMAL,-8097.593797092857,235.40620290714168,0.1,0.02,8333.0,0.1416305999737233,per_task_od,1.3,0.8,8,2,0.4,
0.1,0.022,OPTIMAL,-8089.004061930535,243.99593806946487,0.1,0.022,8333.0,0.1333845999906771,per_task_od,1.3,0.8,8,2,0.4,
0.1,0.025,OPTIMAL,-8089.004061930535,243.99593806946487,0.1,0.025,8333.0,0.13859960000263527,per_task_od,1.3,0.8,8,2,0.4,
0.1,0.03,OPTIMAL,-8113.919316124725,219.0806838752748,0.1,0.03,8333.0,0.16907639999408275,per_task_od,1.3,0.8,8,2,0.4,
